Year,Sex,AgeGroup,OffenceDivision,VictimReports
2017,People,20-29,B Property and deception offences,39377
2017,People,20-29,C Other offences,14
2017,People,30-39,A Crimes against the person,13167
2017,People,30-39,B Property and deception offences,39162
2017,People,30-39,C Other offences,13
2017,People,40-49,A Crimes against the person,10217
2017,People,40-49,B Property and deception offences,33373
2017,People,40-49,C Other offences,12
2017,People,50-59,A Crimes against the person,5637
2017,People,50-59,B Property and deception offences,25131
2017,People,50-59,C Other offences,7
2017,People,60-69,A Crimes against the person,2222
2017,People,60-69,B Property and deception offences,14752
2017,People,60-69,C Other offences,5
2017,People,70+,A Crimes against the person,1056
2017,People,70+,B Property and deception offences,8719
2017,People,70+,C Other offences,2
2016,Females,00-19,A Crimes against the person,7075
2016,Females,00-19,B Property and deception offences,2610
2016,Females,00-19,C Other offences,17
2016,Females,20-29,A Crimes against the person,8637
2016,Females,20-29,B Property and deception offences,16568
2016,Females,20-29,C Other offences,26
2016,Females,30-39,A Crimes against the person,6694
2016,Females,30-39,B Property and deception offences,15342
2016,Females,30-39,C Other offences,45
2016,Females,40-49,A Crimes against the person,5191
2016,Females,40-49,B Property and deception offences,13883
2016,Females,40-49,C Other offences,30
2016,Females,50-59,A Crimes against the person,2520
2016,Females,50-59,B Property and deception offences,9861
2016,Females,50-59,C Other offences,20
2016,Females,60-69,A Crimes against the person,937
2016,Females,60-69,B Property and deception offences,5487
2016,Females,60-69,C Other offences,10
2016,Females,70+,A Crimes against the person,471
2016,Females,70+,B Property and deception offences,3426
2016,Females,70+,C Other offences,4
2016,Males,00-19,A Crimes against the person,5546
2016,Males,00-19,B Property and deception offences,3429
2016,Males,00-19,C Other offences,11
2016,Males,20-29,A Crimes against the person,6343
2016,Males,20-29,B Property and deception offences,22711
2016,Males,20-29,C Other offences,24
2016,Males,30-39,A Crimes against the person,5260
2016,Males,30-39,B Property and deception offences,23689
2016,Males,30-39,C Other offences,22
2016,Males,40-49,A Crimes against the person,4433
2016,Males,40-49,B Property and deception offences,19775
2016,Males,40-49,C Other offences,37
2016,Males,50-59,A Crimes against the person,2761
2016,Males,50-59,B Property and deception offences,15231
2016,Males,50-59,C Other offences,25
2016,Males,60-69,A Crimes against the person,1144
2016,Males,60-69,B Property and deception offences,9513
2016,Males,60-69,C Other offences,11
2016,Males,70+,A Crimes against the person,438
2016,Males,70+,B Property and deception offences,4940
2016,Males,70+,C Other offences,9
2016,People,00-19,A Crimes against the person,12622
2016,People,00-19,B Property and deception offences,6041
2016,People,00-19,C Other offences,28
2016,People,20-29,A Crimes against the person,14981
2016,People,20-29,B Property and deception offences,39281
2016,People,20-29,C Other offences,50
2016,People,30-39,A Crimes against the person,11954
2016,People,30-39,B Property and deception offences,39035
2016,People,30-39,C Other offences,67
2016,People,40-49,A Crimes against the person,9630
2016,People,40-49,B Property and deception offences,33684
2016,People,40-49,C Other offences,67
2016,People,50-59,A Crimes against the person,5289
2016,People,50-59,B Property and deception offences,25179
2016,People,50-59,C Other offences,45
2016,People,60-69,A Crimes against the person,2085
2016,People,60-69,B Property and deception offences,15047
2016,People,60-69,C Other offences,21
2016,People,70+,A Crimes against the person,910
2016,People,70+,B Property and deception offences,8405
2016,People,70+,C Other offences,13
2015,Females,00-19,A Crimes against the person,5939
2015,Females,00-19,B Property and deception offences,2461
2015,Females,00-19,C Other offences,14
2015,Females,20-29,A Crimes against the person,7629
2015,Females,20-29,B Property and deception offences,15068
2015,Females,20-29,C Other offences,33
2015,Females,30-39,A Crimes against the person,6270
2015,Females,30-39,B Property and deception offences,13670
2015,Females,30-39,C Other offences,19
2015,Females,40-49,A Crimes against the person,4718
2015,Females,40-49,B Property and deception offences,12363
2015,Females,40-49,C Other offences,24
2015,Females,50-59,A Crimes against the person,2160
2015,Females,50-59,B Property and deception offences,8624
2015,Females,50-59,C Other offences,15
2015,Females,60-69,A Crimes against the person,818
2015,Females,60-69,B Property and deception offences,4745
2015,Females,60-69,C Other offences,7
2015,Females,70+,A Crimes against the person,361
2015,Females,70+,B Property and deception offences,3189
2015,Females,70+,C Other offences,5
2015,Males,00-19,A Crimes against the person,4666
2015,Males,00-19,B Property and deception offences,3200
2015,Males,00-19,C Other offences,10
2015,Males,20-29,A Crimes against the person,6179
2015,Males,20-29,B Property and deception offences,20276
2015,Males,20-29,C Other offences,30
2015,Males,30-39,A Crimes against the person,4731
2015,Males,30-39,B Property and deception offences,20049
2015,Males,30-39,C Other offences,31
2015,Males,40-49,A Crimes against the person,4156
2015,Males,40-49,B Property and deception offences,17411
2015,Males,40-49,C Other offences,30
2015,Males,50-59,A Crimes against the person,2504
2015,Males,50-59,B Property and deception offences,13370
2015,Males,50-59,C Other offences,22
2015,Males,60-69,A Crimes against the person,1038
2015,Males,60-69,B Property and deception offences,8207
2015,Males,60-69,C Other offences,15
2015,Males,70+,A Crimes against the person,392
2015,Males,70+,B Property and deception offences,4229
2015,Males,70+,C Other offences,7
2015,People,00-19,A Crimes against the person,10606
2015,People,00-19,B Property and deception offences,5661
2015,People,00-19,C Other offences,24
2015,People,20-29,A Crimes against the person,13811
