Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2018,4 Western,GREATER BENDIGO,3487,3004.97238
2018,4 Western,GREATER GEELONG,9028,3579.287076
2018,4 Western,HEPBURN,406,2567.670124
2018,4 Western,HINDMARSH,139,2462.792346
2018,4 Western,HORSHAM,912,4588.910134
2018,4 Western,LODDON,197,2622.121656
2018,4 Western,MACEDON RANGES,858,1737.299289
2018,4 Western,MILDURA,2607,4695.943512
2018,4 Western,MOORABOOL,961,2813.561307
2018,4 Western,MOUNT ALEXANDER,307,1573.229476
2018,4 Western,MOYNE,269,1592.941316
2018,4 Western,NORTHERN GRAMPIANS,372,3254.593176
2018,4 Western,PYRENEES,227,3087.175303
2018,4 Western,QUEENSCLIFFE,68,2280.348759
2018,4 Western,SOUTHERN GRAMPIANS,539,3340.771043
2018,4 Western,SURF COAST,604,1872.752077
2018,4 Western,SWAN HILL,936,4508.67052
2018,4 Western,WARRNAMBOOL,1182,3390.413906
2018,4 Western,WEST WIMMERA,69,1786.639047
2018,4 Western,YARRIAMBIACK,241,3619.705617
2017,1 North West Metro,BANYULE,4574,3542.578322
2017,1 North West Metro,BRIMBANK,8554,4132.42704
2017,1 North West Metro,DAREBIN,8109,5107.99932
2017,1 North West Metro,HOBSONS BAY,2918,3069.285061
2017,1 North West Metro,HUME,9456,4393.27628
2017,1 North West Metro,MARIBYRNONG,4214,4715.650948
2017,1 North West Metro,MELBOURNE,13266,8336.003921
2017,1 North West Metro,MELTON,5076,3415.467844
2017,1 North West Metro,MOONEE VALLEY,4712,3757.246175
2017,1 North West Metro,MORELAND,7838,4428.89916
2017,1 North West Metro,NILLUMBIK,1392,2154.198521
2017,1 North West Metro,WHITTLESEA,7674,3557.949983
2017,1 North West Metro,WYNDHAM,6731,2792.123482
2017,1 North West Metro,YARRA,6826,7110.861095
2017,2 Eastern,ALPINE,145,1147.333439
2017,2 Eastern,BASS COAST,1182,3437.445472
2017,2 Eastern,BAW BAW,1421,2804.08872
2017,2 Eastern,BENALLA,566,4050.379276
2017,2 Eastern,BOROONDARA,4725,2629.718884
2017,2 Eastern,EAST GIPPSLAND,1539,3335.789839
2017,2 Eastern,GREATER SHEPPARTON,3028,4619.092656
2017,2 Eastern,INDIGO,194,1187.779342
2017,2 Eastern,KNOX,5103,3153.367485
2017,2 Eastern,LATROBE,5362,7158.113953
2017,2 Eastern,MANNINGHAM,2726,2193.610686
2017,2 Eastern,MANSFIELD,289,3285.584357
2017,2 Eastern,MAROONDAH,3431,2949.596376
2017,2 Eastern,MITCHELL,1682,3920.471762
2017,2 Eastern,MOIRA,740,2495.61581
2017,2 Eastern,MONASH,5785,2937.711378
2017,2 Eastern,MURRINDINDI,314,2205.985668
2017,2 Eastern,SOUTH GIPPSLAND,670,2285.051669
